age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
90.0,State-gov,77516,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,1.0,United-States,<=50K
20.0,Self-emp-not-inc,83311,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,11.740156989969938,United-States,<=50K
20.0,Private,215646,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0.0,1609.6679715406997,83.25941007758837,United-States,<=50K
83.83952667950379,Private,234721,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0.0,0.0,1.0,United-States,<=50K
20.0,Private,338409,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0.0,0.0,1.0,Cuba,<=50K
20.0,Private,284582,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,82563.06502068402,0.0,95.6886871593841,United-States,<=50K
20.0,Private,160187,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,99999.0,4000.0,55.75379814746809,Jamaica,<=50K
20.0,Self-emp-not-inc,209642,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,97381.44055825222,0.0,57.03415433337328,United-States,>50K
32.42446400869177,Private,45781,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,34408.67658131721,13.3321638955183,99.0,United-States,>50K
90.0,Private,159449,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60027.069653425875,2481.7619970432243,1.0,United-States,>50K
90.0,Private,280464,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,99999.0,0.0,99.0,United-States,>50K
20.0,State-gov,141297,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,54902.09987216535,559.8330124571276,55.8201619347012,India,>50K
20.0,Private,122272,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,99999.0,0.0,42.59719849091197,United-States,<=50K
34.83191942990217,Private,205019,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male,0.0,0.0,41.31748148156308,United-States,<=50K
49.030919398712044,Private,121772,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0.0,0.0,24.66455721852313,?,>50K
48.232785261494506,Private,245487,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,99999.0,4000.0,99.0,Mexico,<=50K
41.09340734227966,Self-emp-not-inc,176756,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0.0,1297.9888007003824,19.478077773612704,United-States,<=50K
21.939998310933483,Private,186824,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0.0,396.1150775058975,99.0,United-States,<=50K
90.0,Private,28887,11th,7,Married-civ-spouse,Sales,Husband,White,Male,20915.905633055492,0.0,1.0,United-States,<=50K
90.0,Self-emp-not-inc,292175,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,15.213890446935046,United-States,>50K
90.0,Private,193524,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,4000.0,59.85120880321949,United-States,>50K
20.0,Private,302146,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,99999.0,0.0,1.0,United-States,<=50K
20.0,Federal-gov,76845,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0.0,0.0,1.0,United-States,<=50K
20.0,Private,117037,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,6984.242366226109,1234.6086301378355,1.0,United-States,<=50K
20.0,Private,109015,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,77959.0738642657,1795.5339583487828,99.0,United-States,<=50K
20.0,Local-gov,216851,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,99999.0,2370.814851813868,99.0,United-States,>50K
90.0,Private,168294,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,99999.0,0.0,1.0,United-States,<=50K
51.17793469135819,?,180211,Some-college,10,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,99999.0,2574.167889754264,62.64094334295165,South,>50K
20.0,Private,367260,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,2546.563349196682,1.0,United-States,<=50K
74.62545883534247,Private,193366,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,48718.74059721574,0.0,99.0,United-States,<=50K
20.0,Local-gov,190709,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,0.0,4000.0,99.0,United-States,<=50K
90.0,Private,266015,Some-college,10,Never-married,Sales,Own-child,Black,Male,0.0,1741.939813693959,99.0,United-States,<=50K
38.56291120988431,Private,386940,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,72842.67018951461,403.57735728115483,55.115323806658694,United-States,<=50K
31.729278479950526,Federal-gov,59951,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,37543.775454618,1400.8531330635867,1.0,United-States,<=50K
35.74417755890641,State-gov,311512,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,89185.81446276009,4000.0,1.0,United-States,<=50K
